date,Job openings — total (level),Job openings — total (rate),Hires — total (level),Hires — total (rate),Separations — total (level),Separations — total (rate),Quits — total (level),Quits — total (rate),Layoffs & discharges — total (level),Layoffs & discharges — total (rate),Job openings — construction,Job openings — manufacturing,Job openings — retail trade,Job openings — professional & business,Job openings — education & health,Job openings — health care & social,Job openings — leisure & hospitality,"Job openings — arts, entertainment, recreation",Job openings — accommodation & food,Job openings — government,Job openings — state & local government,Quits rate — total private,Quits rate — construction,Quits rate — manufacturing,Quits rate — retail trade,Quits rate — information,Quits rate — financial activities,Quits rate — professional & business,Quits rate — private education & health,Quits rate — health care & social,Quits rate — leisure & hospitality,Quits rate — accommodation & food,Quits rate — government
2021-10-01,11238.0,7.0,6678.0,4.5,5856.0,3.9,4153.0,2.8,1313.0,0.9,397.0,953.0,1031.0,2105.0,2102.0,1880.0,1614.0,173.0,1441.0,952.0,822.0,3.1,2.5,2.4,4.4,2.1,1.5,3.4,2.5,2.7,5.2,5.5,1.2
2021-11-01,11199.0,7.0,6911.0,4.6,6192.0,4.1,4453.0,3.0,1348.0,0.9,379.0,846.0,1046.0,2039.0,2105.0,1902.0,1597.0,207.0,1390.0,1001.0,841.0,3.3,3.0,2.5,4.2,1.8,1.7,3.8,2.8,2.9,5.9,6.3,1.1
2021-12-01,11520.0,7.1,6686.0,4.5,6103.0,4.1,4314.0,2.9,1403.0,0.9,377.0,877.0,1011.0,2088.0,2158.0,1945.0,1690.0,186.0,1504.0,1098.0,949.0,3.2,2.4,2.6,4.7,1.8,1.6,3.5,2.4,2.6,5.5,5.9,1.0
2022-01-01,11210.0,7.0,6431.0,4.3,6247.0,4.2,4413.0,2.9,1423.0,0.9,430.0,895.0,1009.0,2089.0,2072.0,1904.0,1607.0,179.0,1428.0,1029.0,901.0,3.3,2.3,2.4,4.5,1.7,1.9,3.6,2.7,2.8,5.6,6.0,1.1
2022-02-01,11698.0,7.2,6801.0,4.5,5986.0,4.0,4233.0,2.8,1401.0,0.9,367.0,823.0,1060.0,2368.0,2211.0,2028.0,1699.0,178.0,1522.0,1054.0,895.0,3.1,2.3,2.6,4.3,1.6,1.7,3.3,2.6,2.8,5.1,5.4,1.2
2022-03-01,12301.0,7.5,6619.0,4.4,6181.0,4.1,4447.0,2.9,1377.0,0.9,457.0,905.0,1467.0,2464.0,2282.0,2106.0,1656.0,175.0,1480.0,1017.0,893.0,3.2,3.3,2.7,4.1,1.6,1.8,3.5,2.4,2.5,6.0,6.3,1.1
2022-04-01,11861.0,7.3,6528.0,4.3,6138.0,4.0,4499.0,3.0,1312.0,0.9,440.0,1025.0,1070.0,2317.0,2192.0,2021.0,1625.0,157.0,1468.0,1042.0,926.0,3.3,3.0,2.6,4.3,1.7,2.1,3.8,2.5,2.6,5.5,5.9,1.1
2022-05-01,11535.0,7.1,6440.0,4.2,6079.0,4.0,4237.0,2.8,1500.0,1.0,411.0,805.0,1064.0,2239.0,2195.0,2040.0,1606.0,178.0,1428.0,1079.0,953.0,3.1,2.6,2.4,3.8,1.9,1.5,3.5,2.5,2.6,5.8,6.1,1.0
2022-06-01,11283.0,6.9,6487.0,4.3,6039.0,4.0,4165.0,2.7,1528.0,1.0,399.0,860.0,868.0,2282.0,2165.0,2008.0,1576.0,145.0,1431.0,983.0,871.0,3.0,2.0,2.5,3.6,1.9,1.6,3.4,2.4,2.5,5.4,5.8,1.1
2022-07-01,11576.0,7.0,6478.0,4.2,5839.0,3.8,4031.0,2.6,1462.0,1.0,383.0,879.0,892.0,2113.0,2282.0,2079.0,1622.0,212.0,1410.0,1225.0,1067.0,3.0,2.4,2.1,3.6,1.6,1.9,3.5,2.2,2.4,5.2,5.6,0.8
2022-08-01,10092.0,6.2,6448.0,4.2,6238.0,4.1,4258.0,2.8,1606.0,1.0,351.0,823.0,806.0,1779.0,2109.0,1949.0,1467.0,202.0,1265.0,955.0,824.0,3.1,3.0,2.3,3.8,1.8,1.6,3.1,2.4,2.6,5.5,6.0,1.1
2022-09-01,10800.0,6.6,6201.0,4.0,5886.0,3.8,4134.0,2.7,1445.0,0.9,442.0,816.0,848.0,2131.0,2231.0,2067.0,1497.0,204.0,1294.0,1068.0,881.0,3.0,2.0,2.0,3.7,2.0,1.5,3.3,2.3,2.5,5.4,5.8,1.1
2022-10-01,10447.0,6.4,6151.0,4.0,5784.0,3.8,3956.0,2.6,1553.0,1.0,394.0,743.0,877.0,1778.0,2158.0,2006.0,1547.0,197.0,1350.0,972.0,853.0,2.8,2.0,2.1,3.8,1.0,1.6,2.8,2.3,2.5,5.5,5.9,1.0
2022-11-01,10632.0,6.4,6180.0,4.0,5881.0,3.8,4083.0,2.6,1472.0,1.0,322.0,814.0,860.0,2117.0,2067.0,1908.0,1530.0,192.0,1338.0,1067.0,926.0,2.9,1.7,2.1,3.8,1.5,1.4,3.2,2.5,2.8,5.4,5.7,1.0
2022-12-01,10902.0,6.6,6163.0,4.0,6004.0,3.9,4125.0,2.7,1535.0,1.0,395.0,750.0,937.0,2114.0,2092.0,1943.0,1719.0,211.0,1509.0,1029.0,886.0,3.0,2.0,2.0,3.9,1.6,1.5,3.1,2.6,2.8,5.2,5.5,1.0
2023-01-01,10318.0,6.2,6370.0,4.1,5885.0,3.8,3839.0,2.5,1767.0,1.1,309.0,717.0,837.0,2019.0,1979.0,1786.0,1523.0,178.0,1344.0,1078.0,900.0,2.8,2.1,2.2,4.0,1.3,1.5,2.4,2.5,2.7,4.9,5.1,0.9
2023-02-01,9857.0,6.0,5989.0,3.9,5767.0,3.7,3917.0,2.5,1535.0,1.0,362.0,665.0,809.0,1844.0,1855.0,1678.0,1422.0,216.0,1206.0,996.0,861.0,2.8,1.9,2.4,3.3,1.6,1.3,2.8,2.5,2.6,5.3,5.6,0.9
2023-03-01,9655.0,5.9,5925.0,3.8,5984.0,3.9,3800.0,2.4,1903.0,1.2,301.0,683.0,733.0,1825.0,1924.0,1729.0,1447.0,218.0,1230.0,1038.0,906.0,2.7,1.8,2.1,3.5,1.4,1.2,2.7,2.4,2.5,4.7,5.0,1.0
2023-04-01,9966.0,6.0,5876.0,3.8,5570.0,3.6,3617.0,2.3,1654.0,1.1,382.0,653.0,882.0,1808.0,1893.0,1753.0,1378.0,209.0,1169.0,1059.0,899.0,2.6,1.9,1.9,3.2,1.3,1.6,2.6,2.1,2.2,4.8,5.1,0.8
